ja,en
の,of
に,On
する,do
は,teeth
を,of
が,But
と,When
年,Year
で,so
だ,is
月,Moon
も,and
から,from
日,Day
成る,Become
こと,thing
有る,Have
よる,evening
や,or
など,Such
言う,To tell
日本,Japan
為,For
この,this
人,Man
その,That
まで,to
もの,thing
へ,What
又,or
これ,this
行う,conduct
よう,So
出来る,Be ready
駅,station
国,Country
より,Than
大学,University
現在,Current
後,rear
か,mosquito
線,line
ぬ,Lantern
放送,broadcast
号,issue
軍,army
無い,No
部,Department
持つ,Hold
所,Place
名,Name
回,times
世界,world
時,Time
戦,War
時代,Era
東京,Tokyo
おく,back
でも,but
呼ぶ,Call
その後,afterwards
会,Meeting
それ,It
機,Machine
会う,meet
受ける,receive
多い,many
選手,player
場合,case
対する,Vain
しかし,However
つく,arrive
昭和,Showa
作品,the work
地,Earth
中,During ~
使用,use
共に,both
学校,school
語,word
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,Shrine
川,river
映画,movie
位,Position
見る,look
テレビ,tv set
系,system
研究,the study
町,town
東,east
存在,Existence
活動,Activity
発売,Release
他,other
出身,where one is from
年代,Age
会社,society
権,Right
開発,development
分,Part
西,West
鉄道,Railway
法,Law
局,Bureau
更に,Further
のみ,only
間,while
山,Mountain
式,formula
島,island
なお,note that
可能,Possible
ドイツ,Germany
代表,representative
使う,use
同じ,same
曲,song
地域,area
作,Work
事,case
版,Plate
取る,take
登場,Appearance
チーム,team
世,world
時間,time
於ける,on
中心,center
大会,Conference
多く,Many
南,South
シリーズ,series
賞,award
北,North
開始,start
フランス,France
一部,part
始める,start
平成,Heisei
知る,know
子,Child
ゲーム,game
道,road
角,Horn
用いる,Use
および,and
館,Mansion
場,Place
体,body
世紀,century
音楽,music
参加,Participation
発表,publication
記録,record
掛ける,Put on
高い,expensive
利用,use
際,edge
出場,Participation
国際,international
リーグ,league
所属,Belongs
務める,serve
関係,relationship
考える,think
イギリス,England
生まれる,to be born
入る,come in
度,Every time
州,state
全て,all
明治,Meiji
生,Raw
点,point
力,Power
良い,good
だけ,only
王,king
試合,game
得る,obtain
優勝,win
都市,City
含む,include
アルバム,album
込む,In
問題,problem
シーズン,Season
開催,hold
大阪,Osaka
位置,position
監督,directed by
上,Up
主,main
設置,Installation
郡,county
戦争,war
物,Stuff
艦,Ship
地方,Region
隊,Corps
期,Period
城,castle
にて,At
長,Long
計画,plan
番,Rank
必要,necessary
出す,put out
一般,Ordinary
変更,Change
本,Book
中央,Center
関する,Be involved
出る,Come out
出演,Appearance
作る,make
基,Base
事業,business
委員,Committee member
バス,bus
市,city
以下,Less than
社会,society
教育,education
事件,Case
特に,especially
卒業,graduation
役,Role
当初,Beginning
結果,result
選挙,selection
機関,institution
大きい,big
高等,High quality
獲得,Acquisition
政府,government
戦う,fight
中国,China
最初,first time
設立,Establishment
置く,put
種,seed
金,Money
建設,construction
派,Faction
続く,Continue
影響,Impact
文化,culture
科,Department
外,Outside
デビュー,debut
台,Stand
情報,information
そして,and
航空,Aviation
村,village
政治,Politics
同様,Same
販売,sale
面,surface
異なる,different
担当,responsible person
最も,most
寺,temple
攻撃,attack
人口,population
ながら,While
及び,as well as
区,Ward
馬,Horse
プロ,Professional
経済,Economy
付ける,wear
地区,district
与える,give
それぞれ,Each
年間,Year
水,water
構成,Constitution
路線,Route
射る,shoot
アメリカ合衆国,united states of america
米,Rice
採用,Recruitment
伴う,Accompany
主義,Principle
上げる,increase
グループ,group
女性,woman
手,hand
システム,system
歴史,history
意味,meaning
一方,on the other hand
元,Origin
県,prefecture
続ける,continue
技術,Technology
当たる,Hit
うち,home
海軍,Navy
公,public
発生,occurrence
製造,Manufacturing
自身,Themselves
車両,vehicle
光,light
話,Story
野球,baseball
調査,Research
船,ship
シングル,single
勝,Victory
列車,train
正,Positive
父,father
活躍,action
省,Ministry
終了,end
文,Sentence
初,first time
全国,Nationwide
収録,Recording
人物,person
ロシア,Russia
渡る,Be overwhelmed
制作,Production
就任,Appointment
最後,last
書く,write
下,under
エンジン,engine
状態,situation
かつて,Once
形,shape
殆んど,Mostly
橋,bridge
決定,Decision
経る,Pass
組織,Organization
イタリア,Italy
朝,Morning
帝国,Empire
生産,production
果たす,Fulfill
株式,stock
海,Sea
神,God
年度,year
モデル,model
描く,draw
道路,road
制,Control
次,Next
但し,however
議員,Parliamentarians
京都,Kyoto
部分,part
漫画,Comic
最大,maximum
名称,name
石,stone
員,Member
独立,Independence
書,book
施設,institution
場所,place
県道,Prefectural road
始まる,Start
示す,show
以降,Or later
様々,various
大きな,big
クラブ,club
機能,function
天,Heaven
サッカー,soccer
部隊,Unit
搭載,powered by
初めて,first time
兵,Soldier
高校,high school
公開,Release
党,party
編成,Formation
運動,motion
量,amount
時期,season
センター,Center
製作,Production
藩,Clan
強い,strong
企業,Company
受賞,Awarded
付く,Be attached
院,Hospital
店,shop
戦闘,fight
結ぶ,tie
目的,Purpose
通常,Normal
対応,correspondence
残る,Remain
勝利,victory
ホーム,home
管理,management
至る,Get
団,Group
木,wood
最終,Final
基本,Basics
教授,Professor
ドラマ,Drama
挙げる,Give up
構造,Construction
作曲,Composition
アニメ,animation
設計,design
実施,implementation
現,Present
長い,long
メンバー,member
領,Territory
交通,traffic
室,Room
協会,Association
女子,Girl
者,person
設定,Setting
発見,discover
契約,contract
信,Religion
英語,English
生活,life
連合,Coalition
自動車,Car
指揮,Command
色,colour
自分,myself
及ぶ,Be
ラジオ,radio
歌,song
重,Heavy
規模,scale
移籍,Transfer
思う,think
廃止,abolition
名前,name
重要,important
成功,success
原,original
予定,schedule
特別,special
認める,Admit
キャラクター,character
巻,roll
最高,Best
加える,Add
ここ,Here
バンド,band
再び,again
武,Madness
実際,actual
そこ,There
似る,Resemble
組,set
運転,drive
専門,Specialty
出版,Publication
内容,Content
煎る,roast
個,Pieces
小学校,primary school
義,Righteousness
数,number
終わる,End
例,example
リリース,release
合わせる,match
大戦,War
科学,Science
運行,Operation
対,versus
北海道,Hokkaido
士,Man
ヨーロッパ,Europe
群,group
少ない,few
指定,specify
江戸,Edo
ところ,Some time
陸軍,Army
残す,leave
教会,Church